	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
mu_[1]	-2.58886185494526	0.00351399997097042	0.111873589685204	-2.82070268375479	-2.65939330864431	-2.58449555941615	-2.51105463496295	-2.38874888214675	1013.56508074871	1.00210430048692
mu_[2]	-0.45	0	0	-0.45	-0.45	-0.45	-0.45	-0.45	2.00085751036151	0.99972958116112
bet_[1]	0.191418351100454	0.00164522401659309	0.0721283181210505	0.0540885912543813	0.142276716279541	0.190333892088636	0.240360828381126	0.334477201631936	1922.03605284548	1.00107382477633
bet_[2]	-0.125886287593261	0.00146541373665939	0.0585677827587507	-0.240701526737869	-0.165236209130552	-0.126697489674674	-0.086445677406509	-0.0117229968341246	1597.33883091739	1.00173269135704
bet_[3]	0.125291734591632	0.00200451132346314	0.0783173551337871	-0.0257012351006376	0.0717813903051146	0.123874826387924	0.1785945227417	0.279950731011242	1526.50769193448	1.00194019571787
kappa_[1]	0.0611889778008698	0.0112628996281705	0.552837579559855	-0.989315605389776	-0.0760614402280071	0.0608979584947033	0.204651449217499	1.10975007185829	2409.32111143323	1.00179292668628
kappa_[2]	1.00915072104383	0.00894642180665859	0.510687935888873	0.0135694009534488	0.874522023841385	1.00560203039892	1.13972866221437	1.98114935644659	3258.46046540896	1.00036879534373
lambda_[1]	0.616727545948623	0.0148818537539234	0.832663646202874	0.100381075275201	0.202628903923826	0.337214627914802	0.661670281112551	3.04462208031396	3130.58242763459	1.00187725849269
lambda_[2]	0.586492381510639	0.0140581910078993	0.83203827864721	0.095423259273226	0.188201288907231	0.314608442654404	0.603280420153278	2.91904913159134	3502.89995827299	1.00098331535586
psi_	0.51715321448773	0.000915981979967643	0.0300320711565026	0.462521811029169	0.496189667003487	0.515712122637691	0.53622827599689	0.580129924348905	1074.97090217017	1.00226349411251
sigma_[1]	0.422053628071462	0.00206029530508081	0.107519054818727	0.238518201368681	0.343065542954003	0.412826138856284	0.491727101375959	0.651503075340971	2723.40311630107	1.00008104462716
sigma_[2]	0.584761134698628	0.00133545261702789	0.058451459510904	0.477111834701548	0.543370892620276	0.581894041956749	0.62281268385079	0.704848767871285	1915.72758418489	1.00096602631053
eta_[1]	0	NA	0	0	0	0	0	0	NA	NA
eta_[2]	-2.522879	0	0	-2.522879	-2.522879	-2.522879	-2.522879	-2.522879	2.00085751036151	0.999714244886293
